"squadraa,""squadraa_xg"",""squadraa_xag"",""squadraa_xgxag"",""squadraa_npzxg"",""squadraa_npxgxag"",""avversarioa_xg"",""avversarioa_xag"",""avversarioa_xgxag"",""avversarioa_npzxg"",""avversarioa_npxgxag"",""squadrab"",""squadrab_xg"",""squadrab_xag"",""squadrab_xgxag"",""squadrab_npzxg"",""squadrab_npxgxag"",""avversariob_xg"",""avversariob_xag"",""avversariob_xgxag"",""avversariob_npzxg"",""avversariob_npxgxag"",""risultato"""
"Napoli,""1.78"",""1.23"",""3.02"",""1.62"",""2.85"",""1.12"",""0.73"",""1.85"",""1.02"",""1.75"",""Crotone"",""1.06"",""0.63"",""1.69"",""0.88"",""1.51"",""1.86"",""1.38"",""3.24"",""1.76"",""3.14"",""1"""
"Napoli,""1.78"",""1.23"",""3.02"",""1.62"",""2.85"",""1.12"",""0.73"",""1.85"",""1.02"",""1.75"",""Parma"",""1.12"",""0.80"",""1.92"",""1.01"",""1.82"",""1.60"",""1.23"",""2.83"",""1.55"",""2.78"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Inter"",""1.95"",""1.38"",""3.34"",""1.77"",""3.15"",""1.05"",""0.68"",""1.73"",""0.90"",""1.58"",""X"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Milan"",""1.86"",""1.15"",""3.02"",""1.47"",""2.63"",""1.24"",""0.88"",""2.11"",""1.14"",""2.01"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Atalanta"",""1.97"",""1.46"",""3.43"",""1.82"",""3.28"",""1.08"",""0.68"",""1.76"",""0.91"",""1.60"",""2"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Juventus"",""1.96"",""1.45"",""3.41"",""1.76"",""3.21"",""1.04"",""0.66"",""1.69"",""0.85"",""1.51"",""X"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Napoli"",""1.78"",""1.23"",""3.02"",""1.62"",""2.85"",""1.12"",""0.73"",""1.85"",""1.02"",""1.75"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Roma"",""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Sassuolo"",""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Sampdoria"",""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Hellas Verona"",""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""2"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Genoa"",""1.02"",""0.69"",""1.72"",""0.94"",""1.63"",""1.59"",""1.15"",""2.74"",""1.46"",""2.61"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Bologna"",""1.44"",""1.03"",""2.47"",""1.34"",""2.37"",""1.65"",""1.13"",""2.77"",""1.48"",""2.60"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Fiorentina"",""1.18"",""0.83"",""2.01"",""1.06"",""1.89"",""1.62"",""1.14"",""2.75"",""1.39"",""2.53"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Udinese"",""1.20"",""0.79"",""1.99"",""1.13"",""1.92"",""1.38"",""0.87"",""2.25"",""1.11"",""1.97"",""2"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Spezia"",""1.23"",""0.82"",""2.05"",""1.12"",""1.94"",""1.71"",""1.17"",""2.88"",""1.51"",""2.68"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Cagliari"",""1.24"",""0.90"",""2.14"",""1.14"",""2.04"",""1.62"",""1.24"",""2.86"",""1.52"",""2.76"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Torino"",""1.32"",""0.85"",""2.16"",""1.19"",""2.04"",""1.63"",""1.09"",""2.72"",""1.43"",""2.52"",""X"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Benevento"",""1.07"",""0.73"",""1.79"",""0.92"",""1.65"",""1.69"",""1.22"",""2.91"",""1.59"",""2.81"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Crotone"",""1.06"",""0.63"",""1.69"",""0.88"",""1.51"",""1.86"",""1.38"",""3.24"",""1.76"",""3.14"",""1"""
"Lazio,""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""Parma"",""1.12"",""0.80"",""1.92"",""1.01"",""1.82"",""1.60"",""1.23"",""2.83"",""1.55"",""2.78"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Inter"",""1.95"",""1.38"",""3.34"",""1.77"",""3.15"",""1.05"",""0.68"",""1.73"",""0.90"",""1.58"",""X"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Milan"",""1.86"",""1.15"",""3.02"",""1.47"",""2.63"",""1.24"",""0.88"",""2.11"",""1.14"",""2.01"",""2"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Atalanta"",""1.97"",""1.46"",""3.43"",""1.82"",""3.28"",""1.08"",""0.68"",""1.76"",""0.91"",""1.60"",""X"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Juventus"",""1.96"",""1.45"",""3.41"",""1.76"",""3.21"",""1.04"",""0.66"",""1.69"",""0.85"",""1.51"",""X"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Napoli"",""1.78"",""1.23"",""3.02"",""1.62"",""2.85"",""1.12"",""0.73"",""1.85"",""1.02"",""1.75"",""2"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Lazio"",""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Sassuolo"",""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""X"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Sampdoria"",""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Hellas Verona"",""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Genoa"",""1.02"",""0.69"",""1.72"",""0.94"",""1.63"",""1.59"",""1.15"",""2.74"",""1.46"",""2.61"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Bologna"",""1.44"",""1.03"",""2.47"",""1.34"",""2.37"",""1.65"",""1.13"",""2.77"",""1.48"",""2.60"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Fiorentina"",""1.18"",""0.83"",""2.01"",""1.06"",""1.89"",""1.62"",""1.14"",""2.75"",""1.39"",""2.53"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Udinese"",""1.20"",""0.79"",""1.99"",""1.13"",""1.92"",""1.38"",""0.87"",""2.25"",""1.11"",""1.97"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Spezia"",""1.23"",""0.82"",""2.05"",""1.12"",""1.94"",""1.71"",""1.17"",""2.88"",""1.51"",""2.68"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Cagliari"",""1.24"",""0.90"",""2.14"",""1.14"",""2.04"",""1.62"",""1.24"",""2.86"",""1.52"",""2.76"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Torino"",""1.32"",""0.85"",""2.16"",""1.19"",""2.04"",""1.63"",""1.09"",""2.72"",""1.43"",""2.52"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Benevento"",""1.07"",""0.73"",""1.79"",""0.92"",""1.65"",""1.69"",""1.22"",""2.91"",""1.59"",""2.81"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Crotone"",""1.06"",""0.63"",""1.69"",""0.88"",""1.51"",""1.86"",""1.38"",""3.24"",""1.76"",""3.14"",""1"""
"Roma,""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""Parma"",""1.12"",""0.80"",""1.92"",""1.01"",""1.82"",""1.60"",""1.23"",""2.83"",""1.55"",""2.78"",""1"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Inter"",""1.95"",""1.38"",""3.34"",""1.77"",""3.15"",""1.05"",""0.68"",""1.73"",""0.90"",""1.58"",""2"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Milan"",""1.86"",""1.15"",""3.02"",""1.47"",""2.63"",""1.24"",""0.88"",""2.11"",""1.14"",""2.01"",""2"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Atalanta"",""1.97"",""1.46"",""3.43"",""1.82"",""3.28"",""1.08"",""0.68"",""1.76"",""0.91"",""1.60"",""X"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Juventus"",""1.96"",""1.45"",""3.41"",""1.76"",""3.21"",""1.04"",""0.66"",""1.69"",""0.85"",""1.51"",""2"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Napoli"",""1.78"",""1.23"",""3.02"",""1.62"",""2.85"",""1.12"",""0.73"",""1.85"",""1.02"",""1.75"",""X"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Lazio"",""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""1"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Roma"",""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""X"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Sampdoria"",""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""1"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Hellas Verona"",""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""1"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Genoa"",""1.02"",""0.69"",""1.72"",""0.94"",""1.63"",""1.59"",""1.15"",""2.74"",""1.46"",""2.61"",""1"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Bologna"",""1.44"",""1.03"",""2.47"",""1.34"",""2.37"",""1.65"",""1.13"",""2.77"",""1.48"",""2.60"",""X"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Fiorentina"",""1.18"",""0.83"",""2.01"",""1.06"",""1.89"",""1.62"",""1.14"",""2.75"",""1.39"",""2.53"",""1"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Udinese"",""1.20"",""0.79"",""1.99"",""1.13"",""1.92"",""1.38"",""0.87"",""2.25"",""1.11"",""1.97"",""X"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Spezia"",""1.23"",""0.82"",""2.05"",""1.12"",""1.94"",""1.71"",""1.17"",""2.88"",""1.51"",""2.68"",""2"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Cagliari"",""1.24"",""0.90"",""2.14"",""1.14"",""2.04"",""1.62"",""1.24"",""2.86"",""1.52"",""2.76"",""X"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Torino"",""1.32"",""0.85"",""2.16"",""1.19"",""2.04"",""1.63"",""1.09"",""2.72"",""1.43"",""2.52"",""X"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Benevento"",""1.07"",""0.73"",""1.79"",""0.92"",""1.65"",""1.69"",""1.22"",""2.91"",""1.59"",""2.81"",""1"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Crotone"",""1.06"",""0.63"",""1.69"",""0.88"",""1.51"",""1.86"",""1.38"",""3.24"",""1.76"",""3.14"",""1"""
"Sassuolo,""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""Parma"",""1.12"",""0.80"",""1.92"",""1.01"",""1.82"",""1.60"",""1.23"",""2.83"",""1.55"",""2.78"",""X"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Inter"",""1.95"",""1.38"",""3.34"",""1.77"",""3.15"",""1.05"",""0.68"",""1.73"",""0.90"",""1.58"",""1"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Milan"",""1.86"",""1.15"",""3.02"",""1.47"",""2.63"",""1.24"",""0.88"",""2.11"",""1.14"",""2.01"",""2"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Atalanta"",""1.97"",""1.46"",""3.43"",""1.82"",""3.28"",""1.08"",""0.68"",""1.76"",""0.91"",""1.60"",""2"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Juventus"",""1.96"",""1.45"",""3.41"",""1.76"",""3.21"",""1.04"",""0.66"",""1.69"",""0.85"",""1.51"",""2"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Napoli"",""1.78"",""1.23"",""3.02"",""1.62"",""2.85"",""1.12"",""0.73"",""1.85"",""1.02"",""1.75"",""2"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Lazio"",""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""1"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Roma"",""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""1"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Sassuolo"",""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""2"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Hellas Verona"",""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""1"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Genoa"",""1.02"",""0.69"",""1.72"",""0.94"",""1.63"",""1.59"",""1.15"",""2.74"",""1.46"",""2.61"",""X"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Bologna"",""1.44"",""1.03"",""2.47"",""1.34"",""2.37"",""1.65"",""1.13"",""2.77"",""1.48"",""2.60"",""2"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Fiorentina"",""1.18"",""0.83"",""2.01"",""1.06"",""1.89"",""1.62"",""1.14"",""2.75"",""1.39"",""2.53"",""1"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Udinese"",""1.20"",""0.79"",""1.99"",""1.13"",""1.92"",""1.38"",""0.87"",""2.25"",""1.11"",""1.97"",""1"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Spezia"",""1.23"",""0.82"",""2.05"",""1.12"",""1.94"",""1.71"",""1.17"",""2.88"",""1.51"",""2.68"",""X"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Cagliari"",""1.24"",""0.90"",""2.14"",""1.14"",""2.04"",""1.62"",""1.24"",""2.86"",""1.52"",""2.76"",""X"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Torino"",""1.32"",""0.85"",""2.16"",""1.19"",""2.04"",""1.63"",""1.09"",""2.72"",""1.43"",""2.52"",""1"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Benevento"",""1.07"",""0.73"",""1.79"",""0.92"",""1.65"",""1.69"",""1.22"",""2.91"",""1.59"",""2.81"",""2"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Crotone"",""1.06"",""0.63"",""1.69"",""0.88"",""1.51"",""1.86"",""1.38"",""3.24"",""1.76"",""3.14"",""1"""
"Sampdoria,""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""Parma"",""1.12"",""0.80"",""1.92"",""1.01"",""1.82"",""1.60"",""1.23"",""2.83"",""1.55"",""2.78"",""1"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Inter"",""1.95"",""1.38"",""3.34"",""1.77"",""3.15"",""1.05"",""0.68"",""1.73"",""0.90"",""1.58"",""2"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Milan"",""1.86"",""1.15"",""3.02"",""1.47"",""2.63"",""1.24"",""0.88"",""2.11"",""1.14"",""2.01"",""2"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Atalanta"",""1.97"",""1.46"",""3.43"",""1.82"",""3.28"",""1.08"",""0.68"",""1.76"",""0.91"",""1.60"",""2"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Juventus"",""1.96"",""1.45"",""3.41"",""1.76"",""3.21"",""1.04"",""0.66"",""1.69"",""0.85"",""1.51"",""X"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Napoli"",""1.78"",""1.23"",""3.02"",""1.62"",""2.85"",""1.12"",""0.73"",""1.85"",""1.02"",""1.75"",""1"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Lazio"",""1.53"",""1.04"",""2.57"",""1.33"",""2.37"",""1.24"",""0.75"",""2.00"",""1.02"",""1.78"",""2"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Roma"",""1.72"",""1.27"",""2.98"",""1.55"",""2.82"",""1.20"",""0.80"",""2.00"",""1.08"",""1.88"",""1"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Sassuolo"",""1.54"",""0.90"",""2.43"",""1.26"",""2.15"",""1.46"",""1.09"",""2.55"",""1.36"",""2.45"",""2"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Sampdoria"",""1.20"",""0.84"",""2.04"",""1.08"",""1.92"",""1.48"",""0.94"",""2.42"",""1.29"",""2.24"",""2"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Genoa"",""1.02"",""0.69"",""1.72"",""0.94"",""1.63"",""1.59"",""1.15"",""2.74"",""1.46"",""2.61"",""X"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Bologna"",""1.44"",""1.03"",""2.47"",""1.34"",""2.37"",""1.65"",""1.13"",""2.77"",""1.48"",""2.60"",""X"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Fiorentina"",""1.18"",""0.83"",""2.01"",""1.06"",""1.89"",""1.62"",""1.14"",""2.75"",""1.39"",""2.53"",""2"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Udinese"",""1.20"",""0.79"",""1.99"",""1.13"",""1.92"",""1.38"",""0.87"",""2.25"",""1.11"",""1.97"",""1"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Spezia"",""1.23"",""0.82"",""2.05"",""1.12"",""1.94"",""1.71"",""1.17"",""2.88"",""1.51"",""2.68"",""X"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Cagliari"",""1.24"",""0.90"",""2.14"",""1.14"",""2.04"",""1.62"",""1.24"",""2.86"",""1.52"",""2.76"",""1"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Torino"",""1.32"",""0.85"",""2.16"",""1.19"",""2.04"",""1.63"",""1.09"",""2.72"",""1.43"",""2.52"",""X"""
"Hellas Verona,""1.19"",""0.88"",""2.08"",""1.13"",""2.01"",""1.30"",""0.86"",""2.16"",""1.17"",""2.03"",""Benevento"",""1.07"",""0.73"",""1.79"",""0.92"",""1.65"",""1.69"",""1.22"",""2.91"",""1.59"",""2.81"",""1"""
