,squadraa,squadraa_xg,squadraa_xag,squadraa_xgxag,squadraa_npzxg,squadraa_npxgxag,avversarioa_xg,avversarioa_xag,avversarioa_xgxag,avversarioa_npzxg,avversarioa_npxgxag,squadrab,squadrab_xg,squadrab_xag,squadrab_xgxag,squadrab_npzxg,squadrab_npxgxag,avversariob_xg,avversariob_xag,avversariob_xgxag,avversariob_npzxg,avversariob_npxgxag,risultato
0,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,2
1,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,1
2,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,1
3,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,1
4,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,1
5,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Lecce,0.85,0.73,1.58,0.85,1.58,1.46,1.44,2.9,1.46,2.9,1
6,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Atalanta,1.48,1.06,2.54,1.48,2.54,0.58,0.54,1.12,0.58,1.12,1
7,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Monza,1.38,1.16,2.55,1.38,2.55,1.82,1.52,3.34,1.82,3.34,1
8,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Frosinone,0.81,0.37,1.18,0.41000000000000003,0.78,1.57,1.2,2.77,1.57,2.77,1
9,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Genoa,0.38,0.22,0.6000000000000001,0.38,0.6000000000000001,1.2,0.41000000000000003,1.62,1.2,1.62,1
10,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Salernitana,0.32,0.31,0.63,0.32,0.63,1.34,0.93,2.27,1.34,2.27,1
11,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Roma,1.72,1.05,2.77,1.72,2.77,0.45,0.17,0.62,0.45,0.62,1
12,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Bologna,0.77,0.63,1.4,0.77,1.4,0.86,0.66,1.52,0.86,1.52,1
13,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Cagliari,0.52,0.32,0.84,0.52,0.84,0.9400000000000001,0.64,1.58,0.9400000000000001,1.58,1
14,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Udinese,0.88,0.6900000000000001,1.57,0.88,1.57,1.16,0.75,1.9,0.78,1.53,1
15,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Torino,0.72,0.53,1.25,0.72,1.25,1.71,0.8200000000000001,2.5300000000000002,0.92,1.74,1
16,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Lazio,1.5,1.01,2.51,1.5,2.51,1.0,0.74,1.74,1.0,1.74,1
17,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Empoli,0.8300000000000001,0.53,1.3599999999999999,0.8300000000000001,1.3599999999999999,1.25,1.15,2.4,1.25,2.4,1
18,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,Sassuolo,0.31,0.28,0.58,0.31,0.58,2.4,1.4100000000000001,3.81,1.63,3.03,1
19,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,1
20,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,1
21,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,1
22,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,1
23,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,1
24,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Lecce,0.85,0.73,1.58,0.85,1.58,1.46,1.44,2.9,1.46,2.9,1
25,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Atalanta,1.48,1.06,2.54,1.48,2.54,0.58,0.54,1.12,0.58,1.12,1
26,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Monza,1.38,1.16,2.55,1.38,2.55,1.82,1.52,3.34,1.82,3.34,1
27,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Frosinone,0.81,0.37,1.18,0.41000000000000003,0.78,1.57,1.2,2.77,1.57,2.77,1
28,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Genoa,0.38,0.22,0.6000000000000001,0.38,0.6000000000000001,1.2,0.41000000000000003,1.62,1.2,1.62,1
29,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Salernitana,0.32,0.31,0.63,0.32,0.63,1.34,0.93,2.27,1.34,2.27,1
30,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Roma,1.72,1.05,2.77,1.72,2.77,0.45,0.17,0.62,0.45,0.62,1
31,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Bologna,0.77,0.63,1.4,0.77,1.4,0.86,0.66,1.52,0.86,1.52,1
32,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Cagliari,0.52,0.32,0.84,0.52,0.84,0.9400000000000001,0.64,1.58,0.9400000000000001,1.58,1
33,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Udinese,0.88,0.6900000000000001,1.57,0.88,1.57,1.16,0.75,1.9,0.78,1.53,1
34,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Torino,0.72,0.53,1.25,0.72,1.25,1.71,0.8200000000000001,2.5300000000000002,0.92,1.74,1
35,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Lazio,1.5,1.01,2.51,1.5,2.51,1.0,0.74,1.74,1.0,1.74,1
36,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Empoli,0.8300000000000001,0.53,1.3599999999999999,0.8300000000000001,1.3599999999999999,1.25,1.15,2.4,1.25,2.4,1
37,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,Sassuolo,0.31,0.28,0.58,0.31,0.58,2.4,1.4100000000000001,3.81,1.63,3.03,1
38,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,1
39,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,2
40,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,1
41,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,1
42,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,1
43,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Lecce,0.85,0.73,1.58,0.85,1.58,1.46,1.44,2.9,1.46,2.9,1
44,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Atalanta,1.48,1.06,2.54,1.48,2.54,0.58,0.54,1.12,0.58,1.12,1
45,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Monza,1.38,1.16,2.55,1.38,2.55,1.82,1.52,3.34,1.82,3.34,1
46,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Frosinone,0.81,0.37,1.18,0.41000000000000003,0.78,1.57,1.2,2.77,1.57,2.77,1
47,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Genoa,0.38,0.22,0.6000000000000001,0.38,0.6000000000000001,1.2,0.41000000000000003,1.62,1.2,1.62,1
48,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Salernitana,0.32,0.31,0.63,0.32,0.63,1.34,0.93,2.27,1.34,2.27,1
49,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Roma,1.72,1.05,2.77,1.72,2.77,0.45,0.17,0.62,0.45,0.62,1
50,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Bologna,0.77,0.63,1.4,0.77,1.4,0.86,0.66,1.52,0.86,1.52,1
51,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Cagliari,0.52,0.32,0.84,0.52,0.84,0.9400000000000001,0.64,1.58,0.9400000000000001,1.58,1
52,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Udinese,0.88,0.6900000000000001,1.57,0.88,1.57,1.16,0.75,1.9,0.78,1.53,1
53,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Torino,0.72,0.53,1.25,0.72,1.25,1.71,0.8200000000000001,2.5300000000000002,0.92,1.74,1
54,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Lazio,1.5,1.01,2.51,1.5,2.51,1.0,0.74,1.74,1.0,1.74,1
55,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Empoli,0.8300000000000001,0.53,1.3599999999999999,0.8300000000000001,1.3599999999999999,1.25,1.15,2.4,1.25,2.4,1
56,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,Sassuolo,0.31,0.28,0.58,0.31,0.58,2.4,1.4100000000000001,3.81,1.63,3.03,1
57,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,2
58,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,2
59,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,2
60,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,2
61,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,2
62,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Lecce,0.85,0.73,1.58,0.85,1.58,1.46,1.44,2.9,1.46,2.9,1
63,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Atalanta,1.48,1.06,2.54,1.48,2.54,0.58,0.54,1.12,0.58,1.12,2
64,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Monza,1.38,1.16,2.55,1.38,2.55,1.82,1.52,3.34,1.82,3.34,3
65,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Frosinone,0.81,0.37,1.18,0.41000000000000003,0.78,1.57,1.2,2.77,1.57,2.77,1
66,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Genoa,0.38,0.22,0.6000000000000001,0.38,0.6000000000000001,1.2,0.41000000000000003,1.62,1.2,1.62,1
67,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Salernitana,0.32,0.31,0.63,0.32,0.63,1.34,0.93,2.27,1.34,2.27,1
68,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Roma,1.72,1.05,2.77,1.72,2.77,0.45,0.17,0.62,0.45,0.62,2
69,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Bologna,0.77,0.63,1.4,0.77,1.4,0.86,0.66,1.52,0.86,1.52,1
70,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Cagliari,0.52,0.32,0.84,0.52,0.84,0.9400000000000001,0.64,1.58,0.9400000000000001,1.58,1
71,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Udinese,0.88,0.6900000000000001,1.57,0.88,1.57,1.16,0.75,1.9,0.78,1.53,1
72,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Torino,0.72,0.53,1.25,0.72,1.25,1.71,0.8200000000000001,2.5300000000000002,0.92,1.74,1
73,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Lazio,1.5,1.01,2.51,1.5,2.51,1.0,0.74,1.74,1.0,1.74,2
74,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Empoli,0.8300000000000001,0.53,1.3599999999999999,0.8300000000000001,1.3599999999999999,1.25,1.15,2.4,1.25,2.4,1
75,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,Sassuolo,0.31,0.28,0.58,0.31,0.58,2.4,1.4100000000000001,3.81,1.63,3.03,1
76,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,2
77,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,2
78,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,2
79,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,1
80,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,1
81,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Lecce,0.85,0.73,1.58,0.85,1.58,1.46,1.44,2.9,1.46,2.9,1
82,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Atalanta,1.48,1.06,2.54,1.48,2.54,0.58,0.54,1.12,0.58,1.12,1
83,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Monza,1.38,1.16,2.55,1.38,2.55,1.82,1.52,3.34,1.82,3.34,1
84,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Frosinone,0.81,0.37,1.18,0.41000000000000003,0.78,1.57,1.2,2.77,1.57,2.77,1
85,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Genoa,0.38,0.22,0.6000000000000001,0.38,0.6000000000000001,1.2,0.41000000000000003,1.62,1.2,1.62,1
86,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Salernitana,0.32,0.31,0.63,0.32,0.63,1.34,0.93,2.27,1.34,2.27,1
87,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Roma,1.72,1.05,2.77,1.72,2.77,0.45,0.17,0.62,0.45,0.62,2
88,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Bologna,0.77,0.63,1.4,0.77,1.4,0.86,0.66,1.52,0.86,1.52,1
89,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Cagliari,0.52,0.32,0.84,0.52,0.84,0.9400000000000001,0.64,1.58,0.9400000000000001,1.58,1
